water_year,total_inches,missing_days,status
1937,45.14,145,partial_record
1938,73.31,125,excluded_missing_days
1939,28.25,144,excluded_missing_days
1940,78.80,,reportable
1941,101.14,119,excluded_missing_days
1942,70.24,24,excluded_missing_days
1943,52.04,29,excluded_missing_days
1944,40.79,,reportable
1945,53.67,,reportable
1946,42.29,24,excluded_missing_days
1947,32.68,,reportable
1948,41.41,,reportable
1949,42.47,,reportable
1950,40.48,14,excluded_missing_days
1951,63.97,,reportable
1952,86.01,22,excluded_missing_days
1953,51.97,,reportable
1954,42.68,9,excluded_missing_days
1955,40.98,8,excluded_missing_days
1956,66.16,8,excluded_missing_days
1957,42.74,,reportable
1958,80.61,,reportable
1959,39.89,,reportable
1960,32.51,,reportable
1961,31.01,,reportable
1962,50.43,,reportable
1963,67.80,,reportable
1964,36.03,,reportable
1965,60.69,,reportable
1966,26.69,22,excluded_missing_days
1967,70.53,13,excluded_missing_days
1968,33.13,,reportable
1969,68.06,,reportable
1970,40.97,,reportable
1971,37.14,,reportable
1972,26.83,,reportable
1973,65.29,,reportable
1974,57.57,,reportable
1975,41.95,,reportable
1976,21.60,,reportable
1977,19.97,,reportable
1978,70.71,,reportable
1979,42.69,,reportable
1980,61.44,,reportable
1981,33.02,,reportable
1982,80.49,,reportable
1983,95.65,,reportable
1984,40.26,,reportable
1985,40.68,,reportable
1986,67.20,,reportable
1987,26.86,17,excluded_missing_days
1988,30.10,,reportable
1989,34.29,,reportable
1990,24.30,,reportable
1991,32.00,,reportable
1992,41.11,,reportable
1993,57.70,,reportable
1994,33.09,,reportable
1995,69.07,,reportable
1996,61.14,,reportable
1997,58.70,,reportable
1998,82.80,,reportable
1999,46.31,,reportable
2000,56.24,,reportable
2001,34.93,30,excluded_missing_days
2002,46.32,31,excluded_missing_days
2003,49.01,,reportable
2004,44.06,31,excluded_missing_days
2005,66.86,,reportable
2006,74.62,,reportable
2007,29.03,,reportable
2008,38.79,,reportable
2009,38.55,,reportable
2010,56.20,,reportable
2011,61.70,187,excluded_missing_days
2012,37.78,225,excluded_missing_days
2013,36.85,,reportable
2014,22.83,,reportable
2015,34.44,,reportable
2016,46.62,,reportable
2017,94.62,,reportable
2018,33.77,,reportable
2019,65.26,,reportable
2020,31.38,,reportable
2021,21.51,,reportable
2022,44.58,,reportable
2023,85.13,,reportable
2024,48.05,31,excluded_missing_days
2025,37.51,14,excluded_missing_days
2026,44.97,8,in_progress
