name,category,subcategory,editorial_group,locality,address,no_storefront,license,service_area,website,phone,verified_at
Adriane White Photography,Arts & Culture,Photographer,Arts and culture,Santa Cruz,,yes,,"Santa Cruz County, including the San Lorenzo Valley",https://www.adrianewhitephotography.com/,,2026-07-16
De Joy Photography,Arts & Culture,Photographer,Arts and culture,Santa Cruz,,yes,,Santa Cruz County and destination weddings,https://dejoyphotography.com/,717-512-6065,2026-07-17
Hennig Studios,Arts & Culture,Ceramics studio and gallery,Arts and culture,Boulder Creek,211 Grove Street,no,,Boulder Creek,https://www.hennigstudios.com/,831-338-2098,2026-07-15
Kassandra Thomsen Photography,Arts & Culture,Photographer,Arts and culture,Santa Cruz,,yes,,"Santa Cruz County, including the San Lorenzo Valley",https://www.kassandrathomsen.com/,,2026-07-16
Kelly Griffiths Photography,Arts & Culture,Photographer,Arts and culture,Santa Cruz,,yes,,Santa Cruz County and Bay Area,https://www.kellygriffithsphotography.com/,,2026-07-17
Kyer Wiltshire,Arts & Culture,Photographer and videographer,Arts and culture,Santa Cruz,,yes,,Santa Cruz County,https://kyerwiltshire.com/,,2026-07-17
lille aeske arthouse,Arts & Culture,Gallery and art space,Arts and culture,Boulder Creek,13160 Highway 9,no,,Boulder Creek and the Santa Cruz Mountains arts community,https://www.lilleaeske.com/,408-309-0756,2026-07-15
San Lorenzo Valley Museum - Grace Episcopal Gallery,Arts & Culture,Local history museum,Arts and culture,Boulder Creek,12547 Highway 9,no,,San Lorenzo Valley,https://www.slvmuseum.org/,(831) 338-8382,2026-07-15
Santa Cruz Mountains Art Center,Arts & Culture,Community art center & gallery,Arts and culture,Ben Lomond,9341 Mill Street,no,,San Lorenzo Valley,https://www.mountainartcenter.org/,831-336-3513,2026-07-17
Viscosity Glass,Arts & Culture,Glass art studio and gallery,Arts and culture,Boulder Creek,13158 Central Avenue,no,,Boulder Creek,https://www.viscositystudio.com/gallery/,206-669-1955,2026-07-15
4x4 and More,Automotive,"Auto repair, tires, and off-road",Cars and getting around,Scotts Valley,5040 Scotts Valley Drive,no,,"Scotts Valley, San Lorenzo Valley, Santa Cruz, and San Jose area",https://www.4x4andmore.us/,831-439-0902,2026-07-17
Boulder Creek American,Automotive,Gas station and convenience store,Cars and getting around,Boulder Creek,13211 Highway 9,no,,Boulder Creek,https://www.facebook.com/p/Boulder-Creek-American-Gas-100066299868247/,831-338-2678,2026-07-22
Ernie's Service Center,Automotive,Auto repair and smog,Cars and getting around,Felton,6281 Graham Hill Road,no,,"Felton, San Lorenzo Valley, and greater Santa Cruz County",https://www.erniesservicecenter.com/,831-335-5332,2026-07-17
Integrity Automotive Service,Automotive,Auto repair and smog,Cars and getting around,Scotts Valley,107-A Whispering Pines Drive,no,,Scotts Valley and Santa Cruz County,https://www.smogcheckscottsvalley.com/,831-439-9631,2026-07-17
Ladd's Towing,Automotive,Towing and auto body,Cars and getting around,Felton,6085 Highway 9,no,,"San Lorenzo Valley, including Felton, Ben Lomond, and Boulder Creek",https://laddstowingservice.com/,831-335-2222,2026-07-17
Lloyd's Tire & Auto Care - Scotts Valley,Automotive,Tires and auto repair,Cars and getting around,Scotts Valley,"5310 Scotts Valley Drive, Unit D",no,,Scotts Valley and Santa Cruz County,https://locations.lloydstire.com/ca/scotts-valley/5310-unit-d-scotts-valley-drive,831-461-9204,2026-07-17
Mountain Mechanics,Automotive,Auto repair and smog,Cars and getting around,Boulder Creek,13265 Big Basin Way,no,,Boulder Creek and surrounding mountain communities,https://www.mountainmechanics.net/,831-338-3903,2026-07-15
Skip's Tire & Auto Repair - Scotts Valley,Automotive,Tires and auto repair,Cars and getting around,Scotts Valley,231 Mount Hermon Road,no,,Scotts Valley and Santa Cruz County,https://locations.skipstire.com/ca/scotts-valley/231-mount-hermon-road,831-438-0296,2026-07-17
Smiling Grille Auto Repair,Automotive,Mobile auto repair,Cars and getting around,Boulder Creek,,yes,,Boulder Creek and the San Lorenzo Valley,https://www.facebook.com/sgarmobile/,831-706-5698,2026-07-17
Bella Nails,Beauty,Nail salon,"Beauty, health and fitness",Scotts Valley,"245U Mt Hermon Road, Scotts Valley, CA 95066",no,,,,831-461-1618,2026-07-17
Central Avenue Salon,Beauty,Hair salon,"Beauty, health and fitness",Boulder Creek,13162 Central Avenue,no,,Boulder Creek,https://www.facebook.com/centralavenuesalonbc/,415-725-0850,2026-07-16
Felton Nails,Beauty,Nail salon,"Beauty, health and fitness",Felton,"6265 Graham Hill Road, Felton, CA 95018",no,,,,831-335-5464,2026-07-17
Hair Hut,Beauty,Hair salon,"Beauty, health and fitness",Boulder Creek,"13266 Highway 9, Suite A",no,,Boulder Creek and the San Lorenzo Valley,https://www.facebook.com/bouldercreekhairhut/,831-239-0317,2026-07-16
K-Salon,Beauty,Hair salon,"Beauty, health and fitness",Ben Lomond,,yes,,San Lorenzo Valley and Santa Cruz,https://www.ksalon.us/,,2026-07-16
Kalani Day Spa,Beauty,Day spa,"Beauty, health and fitness",Scotts Valley,"245 Mt Hermon Road, Suite D",no,,Scotts Valley and the San Lorenzo Valley,https://kalanidayspa.com/,831-600-7116,2026-07-17
Kathy Nails,Beauty,Nail salon,"Beauty, health and fitness",Felton,"6198 Highway 9, Felton, CA 95018",no,,,,831-335-9522,2026-07-17
Lilia Skin,Beauty,Skin care and facials,"Beauty, health and fitness",Felton,,yes,,Felton and the San Lorenzo Valley,https://www.instagram.com/lilia_skin/,,2026-07-17
Michelle's Nails,Beauty,Nail salon,"Beauty, health and fitness",Ben Lomond,"10090 Highway 9, Suite 1",no,,San Lorenzo Valley,,831-336-8125,2026-08-08
Millie's Nail & Spa,Beauty,Nail salon,"Beauty, health and fitness",Scotts Valley,,no,,,,408-207-8450,2026-07-17
Oh Suzannah Hair Designers,Beauty,Hair salon,"Beauty, health and fitness",Boulder Creek,13090 Highway 9,no,,Boulder Creek,https://www.facebook.com/OhSuzannas/,831-338-3883,2026-07-16
Oli Nails,Beauty,Nail artist,"Beauty, health and fitness",Boulder Creek,,yes,,"Boulder Creek and the San Lorenzo Valley, plus a Scotts Valley salon space",https://www.instagram.com/olive__oli_nails/,,2026-07-24
Paper Moon Skincare Studio,Beauty,Skin care studio,"Beauty, health and fitness",Scotts Valley,4 Camp Evers Lane,no,,Scotts Valley and the San Lorenzo Valley,https://www.papermoonbeauty.co/,831-200-3522,2026-07-17
Queen Nails,Beauty,Nail salon,"Beauty, health and fitness",Scotts Valley,"266 Mt Hermon Road, Suite M",no,,Scotts Valley and the San Lorenzo Valley,https://www.facebook.com/QueenNails95066/,831-438-8736,2026-08-08
Redwood Mountain Spa,Beauty,"Day spa, massage, and facials","Beauty, health and fitness",Boulder Creek,12560 Highway 9,no,,Boulder Creek and surrounding communities,https://redwoodmountainspa.com/,831-703-4519,2026-07-17
Society Barbershop,Beauty,Barbershop,"Beauty, health and fitness",Felton,6287 Highway 9,no,,San Lorenzo Valley and the Scotts Valley area,https://www.societybarbershop.com/,408-800-2219,2026-08-08
SuperNatural Beauty & Aesthetics,Beauty,Medical spa and skin care,"Beauty, health and fitness",Boulder Creek,12615 Highway 9,no,,Boulder Creek and the San Lorenzo Valley,https://supernatural.beauty/,661-889-5728,2026-08-11
VIP Hair Studio,Beauty,Hair salon,"Beauty, health and fitness",Ben Lomond,"10090 Highway 9, Suite 2",no,,Ben Lomond and the San Lorenzo Valley,https://vip-hair-studio.com/,831-609-6563,2026-07-16
Companion Bakeshop,Cakes & Desserts,Wedding cakes and bakery,"Weddings, parties and events",Santa Cruz,,no,,Santa Cruz County,https://www.companionbakeshop.com/weddings,,2026-07-17
Dessert First Bakery,Cakes & Desserts,Wedding cakes and bakery,"Weddings, parties and events",Boulder Creek,,yes,,San Lorenzo Valley and Santa Cruz County,https://www.santacruz.org/listings/dessert-first-bakery/,,2026-07-17
Edith Meyer Wedding Cakes,Cakes & Desserts,Wedding cakes,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://www.edithmeyer.com/,,2026-07-17
Freedom Bakery & Confections,Cakes & Desserts,Wedding cakes and bakery,"Weddings, parties and events",Watsonville,,no,,Santa Cruz County,https://www.freedombakery.com/,,2026-07-17
Gayle's Bakery & Rosticceria,Cakes & Desserts,Wedding cakes and bakery,"Weddings, parties and events",Capitola,,no,,Santa Cruz County,https://www.gaylesbakery.com/,,2026-07-17
Sugar Bakery Co.,Cakes & Desserts,Wedding cakes and bakery,"Weddings, parties and events",Soquel,,no,,Santa Cruz County,https://www.sugarbakeryco.com/,,2026-07-17
The Buttery,Cakes & Desserts,Wedding cakes and bakery,"Weddings, parties and events",Santa Cruz,,no,,Santa Cruz County,https://www.butterybakery.com/,,2026-07-17
Feel Good Foods Catering,Catering & Bar,Wedding and event catering,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://www.feelgoodfoodscatering.com/,,2026-07-17
Humble Bumble Catering,Catering & Bar,Wedding and event catering,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://www.humblebumblecatering.com/,,2026-07-17
Santa Cruz Catering Company,Catering & Bar,Wedding and event catering,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://santacruzcateringcompany.com/,,2026-07-17
Sunny's Catering,Catering & Bar,Wedding and event catering,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County and the Bay Area,https://sunnyscatering.com/,,2026-07-17
The Wild Bite,Catering & Bar,Catering and day-of coordination,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County and beyond,https://www.instagram.com/thewildbite/,,2026-07-17
Tip Top Taps,Catering & Bar,Mobile bar and tap service,"Weddings, parties and events",Santa Cruz,,yes,,Santa Cruz County,https://www.sctiptoptaps.com/,,2026-07-17
Wylder Space,Catering & Bar,Wedding and event catering,"Weddings, parties and events",Felton,,yes,,San Lorenzo Valley and Santa Cruz County,https://www.wylderspace.com/,,2026-07-17
211 Santa Cruz County,Community & Nonprofit,Health & Human Services Referral,"Civic, emergency and community",Santa Cruz County,,no,,"Santa Cruz County, including Boulder Creek",https://211santacruzcounty.org/,831-713-4111,2026-07-15
Boulder Creek Business Association,Community & Nonprofit,Business association,"Civic, emergency and community",Boulder Creek,,no,,Boulder Creek,https://www.bcba.net/,831-217-3643,2026-07-22
Camp Joy Gardens,Community & Nonprofit,"Organic farm, garden education nonprofit, and event flowers","Civic, emergency and community",Boulder Creek,131 Camp Joy Road,no,,Boulder Creek and the Santa Cruz Mountains,https://campjoygardens.org/,831-338-3651,2026-07-17
Highlands Park Senior & Community Center,Community & Nonprofit,Senior & community center,"Civic, emergency and community",Ben Lomond,8500 Highway 9,no,,San Lorenzo Valley,https://highlandsparkseniorcenter.org/,831-336-8900,2026-07-17
KBCZ 89.3 FM,Community & Nonprofit,Community radio station,"Civic, emergency and community",Boulder Creek,13200 Highway 9,no,,Boulder Creek / San Lorenzo Valley,https://kbcz.org/,831-703-4420,2026-07-17
Mountain Community Resources,Community & Nonprofit,Family resource center,"Civic, emergency and community",Felton,6134 Highway 9,no,,San Lorenzo Valley,https://communitybridges.org/mcr/,831-335-6600,2026-07-17
San Lorenzo Valley Chamber of Commerce,Community & Nonprofit,Chamber of commerce,"Civic, emergency and community",Felton,,no,,San Lorenzo Valley,https://slvchamber.org/,831-335-6500,2026-07-22
San Lorenzo Valley Post,Community & Nonprofit,Local news outlet,"Civic, emergency and community",Felton,PO Box 1044,no,,San Lorenzo Valley,https://slvpost.com/,831-335-6500,2026-07-17
